报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1998-12-31,1.47亿,False,False,False,6.28亿,False,False,False,False,False,False,23.38%,87.79%,54.27%,68.12%,1485.76,0.24,1485.76,False,1.16,0.43,0.43,2.17,68.44%
1999-12-31,2.16亿,46.84%,False,False,8.91亿,41.81%,1.1700,1.54,0.48,0.03,False,24.21%,85.50%,69.76%,75.57%,1031.52,0.35,1031.52,False,1.14,0.46,0.47,2.21,68.81%
2000-12-31,2.50亿,15.70%,False,False,11.14亿,25.05%,False,2.39,0.48,0.58,2.39,23.05%,82.33%,68.44%,56.41%,855.51,0.42,855.51,False,1.30,0.66,0.64,1.85,64.90%
